country,city,annual_congestion_2025_pct,annual_tt10_2025_sec,annual_average_speed_2025_kmh,monthly_mean_congestion_2024_2025_pct,monthly_sd_congestion_2024_2025_pct,monthly_cv_congestion_2024_2025,mean_congestion_2024_pct,mean_congestion_2025_pct,change_2025_minus_2024_pp,am_tt10_sec,pm_tt10_sec,delta_pm_minus_am_tt10_sec,am_speed_kmh,pm_speed_kmh,delta_pm_minus_am_speed_kmh,peak_asymmetry_index_pai,population,population_density_per_km2,motor_vehicles_per_1000_people,road_length_km,people_per_km_road,road_length_per_1000_people_km,pt_mode_share_pct,rapid_transit_length_km,pt_supply_score_0_3,its_signal_score_0_3,pt_source_ids,its_source_ids,pt_confidence,its_confidence,context_notes
Indonesia,Bandung,64.1,1946,18.7,63.292,5.213,0.08236,62.833,63.75,0.917,1925.0,2416.0,491.0,18.7,14.9,-3.8,0.22622,2528160,15110.6,652,1235.4,2046,0.4886557812796659,10,0,1,2,S002; S010,S033,High,Medium,"Use PT share around 10% from World Bank for Jakarta/Bandung; ATO Google EIE reports 1% PT, so keep method note."
Indonesia,Jakarta,59.8,1579,21.0,58.917,5.09,0.08639,58.417,59.417,1.0,1714.0,2323.0,609.0,21.0,15.5,-5.5,0.30171,11010514,16623.9,1680,6952.1,1583,0.631405581973739,10,253,3,2,S003; S010,S033,High,Medium,PT score high due rapid transit total 253 km; exact mode-share sources vary.
Indonesia,Medan,54.2,1915,18.2,55.375,3.424,0.06183,53.917,56.833,2.917,1978.0,2500.0,522.0,18.2,14.4,-3.8,0.23314,2486283,8816.9,571,3178.6,782,1.2784546248355477,6,0,1,1,S004; S010,S033,High,Low,"PT share from Mebidang functional area, not strict city-proper."
Indonesia,Palembang,52.7,1698,20.3,53.208,3.176,0.05968,52.583,53.833,1.25,1773.0,2169.0,396.0,20.3,16.6,-3.7,0.20091,1801367,5110.0,544,1722.0,1046,0.9559406828258761,,23.4,2,1,S031,S033,Medium,Low,Need official Palembang transport department source if available.
Indonesia,Surabaya,43.7,1674,20.9,43.542,2.718,0.06243,44.0,43.083,-0.917,1722.0,2057.0,335.0,20.9,17.5,-3.4,0.1773,3018022,8927.7,944,2208.5,1366,0.7317706762906301,,0,1,1,S032,S034,Medium,Low,"If later including planned rail/BRT, separate current and planned supply."
Malaysia,George Town,56.7,1600,22.3,56.792,4.011,0.07062,56.583,57.0,0.417,1614.0,1946.0,332.0,22.3,18.5,-3.8,0.18652,794313,2595.8,1447,1155.0,687,1.4540867391066243,,0,1,1,S013,S018,Medium,Low,Public transport score is bus-based; consider adding Penang Transport Master Plan later.
Malaysia,Ipoh,34.4,1333,26.1,34.292,1.654,0.04825,34.25,34.333,0.083,1379.0,1558.0,179.0,26.1,23.1,-3.0,0.12189,759952,1181.9,1158,2216.0,342,2.915973640440449,,0,1,0,S015,S018,High,Low,ITS score deliberately conservative despite national ITS framework.
Malaysia,Johor Bahru,39.5,1241,28.0,38.125,2.232,0.05856,39.417,36.833,-2.583,1286.0,1481.0,195.0,28.0,24.3,-3.7,0.14095,858118,2300.0,1689,1845.0,465,2.150053955283539,,0,1,0,S014,S018,High,Low,Future RTS Link is not counted as current rapid transit supply.
Malaysia,Kajang,29.4,729,42.4,30.417,2.43,0.0799,29.333,31.5,2.167,819.0,984.0,165.0,42.4,36.6,-5.8,0.18303,1047356,1330.8,1671,3120.0,335,2.978929800373512,,51,2,1,S013; S005,S018,Medium,Low,Rapid transit length uses Greater KL/Kajang Line proxy; not standalone Kajang network.
Malaysia,Kota Bharu,47.9,1395,24.8,47.792,3.257,0.06815,48.0,47.583,-0.417,1452.0,1722.0,270.0,24.8,20.9,-3.9,0.17013,568900,4947.0,808,625.0,910,1.0986113552469678,,0,1,0,S016,S018,Medium,Low,Need stronger local operator/source if used heavily in discussion.
Malaysia,Kuala Lumpur,43.4,1075,28.8,42.833,2.334,0.0545,43.333,42.333,-1.0,1250.0,1572.0,322.0,28.8,22.9,-5.9,0.22821,2075600,8541.6,1614,3654.0,568,1.7604548082482174,4,256,3,3,S005; S013,S017; S018,High,High,Use as high-capacity but congestion-intensive reference city.
Malaysia,Seberang Perai,42.4,876,34.8,41.542,2.904,0.0699,42.333,40.75,-1.583,1034.0,1108.0,74.0,34.8,32.5,-2.3,0.06909,946092,1265.0,1321,3380.0,279,3.5725912490540033,,0,1,1,S013,S018,Medium,Low,Consider adding Penang local traffic control evidence later.
