country,city,year,month,congestion_pct
Malaysia,George Town,2024,Jan,57
Malaysia,George Town,2024,Feb,62
Malaysia,George Town,2024,Mar,47
Malaysia,George Town,2024,Apr,50
Malaysia,George Town,2024,May,57
Malaysia,George Town,2024,Jun,57
Malaysia,George Town,2024,Jul,58
Malaysia,George Town,2024,Aug,61
Malaysia,George Town,2024,Sep,53
Malaysia,George Town,2024,Oct,56
Malaysia,George Town,2024,Nov,59
Malaysia,George Town,2024,Dec,62
Malaysia,George Town,2025,Jan,55
Malaysia,George Town,2025,Feb,61
Malaysia,George Town,2025,Mar,53
Malaysia,George Town,2025,Apr,51
Malaysia,George Town,2025,May,55
Malaysia,George Town,2025,Jun,59
Malaysia,George Town,2025,Jul,58
Malaysia,George Town,2025,Aug,59
Malaysia,George Town,2025,Sep,57
Malaysia,George Town,2025,Oct,54
Malaysia,George Town,2025,Nov,59
Malaysia,George Town,2025,Dec,63
Malaysia,Kota Bharu,2024,Jan,51
Malaysia,Kota Bharu,2024,Feb,49
Malaysia,Kota Bharu,2024,Mar,51
Malaysia,Kota Bharu,2024,Apr,51
Malaysia,Kota Bharu,2024,May,43
Malaysia,Kota Bharu,2024,Jun,46
Malaysia,Kota Bharu,2024,Jul,42
Malaysia,Kota Bharu,2024,Aug,45
Malaysia,Kota Bharu,2024,Sep,50
Malaysia,Kota Bharu,2024,Oct,49
Malaysia,Kota Bharu,2024,Nov,48
Malaysia,Kota Bharu,2024,Dec,51
Malaysia,Kota Bharu,2025,Jan,47
Malaysia,Kota Bharu,2025,Feb,50
Malaysia,Kota Bharu,2025,Mar,51
Malaysia,Kota Bharu,2025,Apr,54
Malaysia,Kota Bharu,2025,May,45
Malaysia,Kota Bharu,2025,Jun,45
Malaysia,Kota Bharu,2025,Jul,44
Malaysia,Kota Bharu,2025,Aug,43
Malaysia,Kota Bharu,2025,Sep,49
Malaysia,Kota Bharu,2025,Oct,45
Malaysia,Kota Bharu,2025,Nov,47
Malaysia,Kota Bharu,2025,Dec,51
Malaysia,Kuala Lumpur,2024,Jan,43
Malaysia,Kuala Lumpur,2024,Feb,45
Malaysia,Kuala Lumpur,2024,Mar,42
Malaysia,Kuala Lumpur,2024,Apr,43
Malaysia,Kuala Lumpur,2024,May,40
Malaysia,Kuala Lumpur,2024,Jun,39
Malaysia,Kuala Lumpur,2024,Jul,44
Malaysia,Kuala Lumpur,2024,Aug,47
Malaysia,Kuala Lumpur,2024,Sep,42
Malaysia,Kuala Lumpur,2024,Oct,42
Malaysia,Kuala Lumpur,2024,Nov,47
Malaysia,Kuala Lumpur,2024,Dec,46
Malaysia,Kuala Lumpur,2025,Jan,42
Malaysia,Kuala Lumpur,2025,Feb,40
Malaysia,Kuala Lumpur,2025,Mar,44
Malaysia,Kuala Lumpur,2025,Apr,40
Malaysia,Kuala Lumpur,2025,May,44
Malaysia,Kuala Lumpur,2025,Jun,40
Malaysia,Kuala Lumpur,2025,Jul,41
Malaysia,Kuala Lumpur,2025,Aug,45
Malaysia,Kuala Lumpur,2025,Sep,40
Malaysia,Kuala Lumpur,2025,Oct,44
Malaysia,Kuala Lumpur,2025,Nov,45
Malaysia,Kuala Lumpur,2025,Dec,43
Malaysia,Seberang Perai,2024,Jan,40
Malaysia,Seberang Perai,2024,Feb,40
Malaysia,Seberang Perai,2024,Mar,38
Malaysia,Seberang Perai,2024,Apr,44
Malaysia,Seberang Perai,2024,May,41
Malaysia,Seberang Perai,2024,Jun,42
Malaysia,Seberang Perai,2024,Jul,39
Malaysia,Seberang Perai,2024,Aug,41
Malaysia,Seberang Perai,2024,Sep,46
Malaysia,Seberang Perai,2024,Oct,47
Malaysia,Seberang Perai,2024,Nov,47
Malaysia,Seberang Perai,2024,Dec,43
Malaysia,Seberang Perai,2025,Jan,37
Malaysia,Seberang Perai,2025,Feb,40
Malaysia,Seberang Perai,2025,Mar,39
Malaysia,Seberang Perai,2025,Apr,40
Malaysia,Seberang Perai,2025,May,45
Malaysia,Seberang Perai,2025,Jun,42
Malaysia,Seberang Perai,2025,Jul,36
Malaysia,Seberang Perai,2025,Aug,42
Malaysia,Seberang Perai,2025,Sep,42
Malaysia,Seberang Perai,2025,Oct,40
Malaysia,Seberang Perai,2025,Nov,43
Malaysia,Seberang Perai,2025,Dec,43
Malaysia,Johor Bahru,2024,Jan,38
Malaysia,Johor Bahru,2024,Feb,36
Malaysia,Johor Bahru,2024,Mar,40
Malaysia,Johor Bahru,2024,Apr,38
Malaysia,Johor Bahru,2024,May,40
Malaysia,Johor Bahru,2024,Jun,41
Malaysia,Johor Bahru,2024,Jul,39
Malaysia,Johor Bahru,2024,Aug,39
Malaysia,Johor Bahru,2024,Sep,39
Malaysia,Johor Bahru,2024,Oct,40
Malaysia,Johor Bahru,2024,Nov,41
Malaysia,Johor Bahru,2024,Dec,42
Malaysia,Johor Bahru,2025,Jan,38
Malaysia,Johor Bahru,2025,Feb,32
Malaysia,Johor Bahru,2025,Mar,39
Malaysia,Johor Bahru,2025,Apr,35
Malaysia,Johor Bahru,2025,May,37
Malaysia,Johor Bahru,2025,Jun,38
Malaysia,Johor Bahru,2025,Jul,39
Malaysia,Johor Bahru,2025,Aug,35
Malaysia,Johor Bahru,2025,Sep,36
Malaysia,Johor Bahru,2025,Oct,37
Malaysia,Johor Bahru,2025,Nov,38
Malaysia,Johor Bahru,2025,Dec,38
Malaysia,Ipoh,2024,Jan,34
Malaysia,Ipoh,2024,Feb,35
Malaysia,Ipoh,2024,Mar,33
Malaysia,Ipoh,2024,Apr,32
Malaysia,Ipoh,2024,May,33
Malaysia,Ipoh,2024,Jun,32
