country,city,jan_2024,feb_2024,mar_2024,apr_2024,may_2024,jun_2024,jul_2024,aug_2024,sep_2024,oct_2024,nov_2024,dec_2024,jan_2025,feb_2025,mar_2025,apr_2025,may_2025,jun_2025,jul_2025,aug_2025,sep_2025,oct_2025,nov_2025,dec_2025
Malaysia,George Town,57,62,47,50,57,57,58,61,53,56,59,62,55,61,53,51,55,59,58,59,57,54,59,63
Malaysia,Kota Bharu,51,49,51,51,43,46,42,45,50,49,48,51,47,50,51,54,45,45,44,43,49,45,47,51
Malaysia,Kuala Lumpur,43,45,42,43,40,39,44,47,42,42,47,46,42,40,44,40,44,40,41,45,40,44,45,43
Malaysia,Seberang Perai,40,40,38,44,41,42,39,41,46,47,47,43,37,40,39,40,45,42,36,42,42,40,43,43
Malaysia,Johor Bahru,38,36,40,38,40,41,39,39,39,40,41,42,38,32,39,35,37,38,39,35,36,37,38,38
Malaysia,Ipoh,34,35,33,32,33,32,33,36,33,36,36,38,35,34,32,32,35,35,33,35,34,35,35,37
Malaysia,Kajang,27,30,31,33,28,26,28,29,27,30,33,30,30,29,35,33,34,28,30,31,32,31,34,31
Thailand,Bangkok,66,72,65,59,66,71,72,74,69,66,71,64,61,67,62,57,64,68,70,74,70,68,73,65
Thailand,Hat Yai,55,53,47,54,53,55,52,58,55,51,62,64,52,53,48,51,55,60,54,60,63,54,58,59
Thailand,Chiang Mai,52,48,37,42,44,47,51,51,48,47,57,53,51,50,39,43,45,51,51,54,51,56,58,57
Thailand,Khon Kaen,44,43,41,42,44,49,46,47,47,43,46,44,43,44,39,42,43,45,45,46,45,42,48,47
Thailand,Nakhon Ratchasima,40,40,40,40,41,42,41,44,42,39,45,42,45,46,46,48,44,44,43,42,41,36,41,38
Indonesia,Medan,55,57,58,50,50,48,53,53,53,57,57,56,59,55,55,58,54,51,54,57,59,60,59,61
Indonesia,Bandung,55,60,60,59,64,59,64,59,63,62,74,75,65,62,56,66,68,62,63,59,58,68,68,70
Indonesia,Jakarta,58,55,59,48,57,59,61,58,59,61,62,64,57,67,53,47,59,57,62,57,57,65,64,68
Indonesia,Palembang,52,54,57,54,49,47,50,50,54,55,53,56,49,52,57,62,53,51,52,54,54,55,55,52
Indonesia,Surabaya,42,47,44,40,44,41,41,39,45,47,49,49,40,42,44,43,43,42,44,44,42,44,42,47
Philippines,Davao City,64,69,60,62,60,60,66,65,68,69,70,72,64,67,65,60,61,63,67,72,68,66,68,69
Philippines,Manila,53,56,52,49,52,56,61,61,59,62,62,57,52,57,50,51,53,56,55,59,59,60,63,57
Vietnam,Ha Noi,47,39,40,40,37,38,39,47,44,47,49,47,46,38,40,37,36,36,38,41,43,43,44,46
Vietnam,Ho Chi Minh,46,34,43,41,41,40,42,46,47,49,49,51,51,41,45,48,40,44,42,46,48,50,51,53
Singapore,Singapore,46,42,42,43,43,40,47,46,45,47,45,40,44,40,40,41,41,39,43,44,44,43,43,37
