country,city,average_congestion_pct,average_travel_time_10km_sec,average_speed_kmh,population,population_density_per_km2,motor_vehicles_per_1000_people,road_length_km,people_per_km_road,road_length_per_1000_people_km
Malaysia,George Town,56.7,1600,22.3,794313,2595.8,1447,1155.0,687,1.4540867391066243
Malaysia,Kota Bharu,47.9,1395,24.8,568900,4947.0,808,625.0,910,1.0986113552469678
Malaysia,Kuala Lumpur,43.4,1075,28.8,2075600,8541.6,1614,3654.0,568,1.7604548082482174
Malaysia,Seberang Perai,42.4,876,34.8,946092,1265.0,1321,3380.0,279,3.5725912490540033
Malaysia,Johor Bahru,39.5,1241,28.0,858118,2300.0,1689,1845.0,465,2.150053955283539
Malaysia,Ipoh,34.4,1333,26.1,759952,1181.9,1158,2216.0,342,2.915973640440449
Malaysia,Kajang,29.4,729,42.4,1047356,1330.8,1671,3120.0,335,2.978929800373512
Thailand,Bangkok,67.9,1379,23.3,10539000,6718.0,1091,4850.0,2173,0.4601954644653193
Thailand,Hat Yai,55.2,1513,23.0,404044,473.8,1385,1655.0,244,4.096088544811951
Thailand,Chiang Mai,48.7,1452,24.3,1198000,2958.0,768,2045.0,585,1.7070116861435725
Thailand,Khon Kaen,44.8,1385,24.4,412758,432.9,1259,1680.0,245,4.070181559170265
Thailand,Nakhon Ratchasima,41.4,1309,24.9,466098,617.0,1458,1288.0,361,2.763367360512167
Indonesia,Medan,54.2,1915,18.2,2486283,8816.9,571,3178.6,782,1.2784546248355477
Indonesia,Bandung,64.1,1946,18.7,2528160,15110.6,652,1235.4,2046,0.4886557812796659
Indonesia,Jakarta,59.8,1579,21.0,11010514,16623.9,1680,6952.1,1583,0.631405581973739
Indonesia,Palembang,52.7,1698,20.3,1801367,5110.0,544,1722.0,1046,0.9559406828258761
Indonesia,Surabaya,43.7,1674,20.9,3018022,8927.7,944,2208.5,1366,0.7317706762906301
Philippines,Davao City,66.2,2057,16.2,1848947,756.6,227,1520.0,1216,0.8220895461038094
Philippines,Manila,57.0,1905,17.2,14942000,24117.0,241,5230.0,2857,0.3500200776335162
Vietnam,Ha Noi,43.2,1513,15.3,8807523,2622.4,863,4560.0,1931,0.5177392099912768
Vietnam,Ho Chi Minh,46.9,1915,17.0,8899866,4317.8,1045,4420.0,2013,0.49663669093444773
Singapore,Singapore,43.9,1281,26.1,6111200,8210.7,163,3522.0,1735,0.5763188899070558
